EL-CENTRO_NS,
X,Y
10.42,-0.25548726953468
10.44,-0.28475270705297
10.46,-0.172373426982733
10.48,-0.0983318700614574
10.5,0.022534386889084
10.52,0.0757974831723734
10.54,0.148668422592918
10.56,0.10564822944103
10.58,0.0237050043898156
10.6,-0.0163886450102429
10.62,-0.061164764413228
10.64,-0.0927714369329821
10.66,-0.0696517412935323
10.68,-0.110038045068774
10.7,-0.1609599063506
10.72,-0.21129645888206
10.74,-0.235001463271876
10.76,-0.153058238220661
10.78,-0.0995024875621891
10.8,-0.003219198127012
10.82,0.0190225343868891
10.84,-0.0108282118817676
10.86,-0.00146327187591455
10.88,-0.0491659350307287
10.9,-0.119988293824993
10.92,-0.0234123500146327
10.94,0.0231196956394498
10.96,0.109452736318408
10.98,0.179982440737489
11,0.194615159496634
11.02,0.0743342112964589
11.04,-0.0166812993854258
11.06,-0.138718173836699
11.08,-0.104184957565116
11.1,-0.0711150131694469
11.12,-0.0140474100087796
11.14,0.0368744512730465
11.16,0.110916008194323
11.18,0.0705297044190811
11.2,-0.0664325431665203
11.22,-0.125256072578285
11.24,-0.198712320749195
11.26,-0.193444541995903
11.28,-0.172666081357916
11.3,-0.150131694468832
11.32,-0.119402985074627
11.34,-0.0904302019315189
11.36,-0.0778460637986538
11.38,-0.158326016973954
11.4,-0.183786947614867
11.42,-0.265730172666081
11.44,-0.32396839332748
11.46,-0.257828504536143
11.48,-0.22534386889084
11.5,-0.170324846356453
11.52,-0.138425519461516
11.54,-0.0974539069359087
11.56,-0.0582382206613989
11.58,0.00585308750365818
11.6,0.0617500731635938
11.62,0.126426690079017
11.64,0.179397131987123
11.66,0.224465905765291
11.68,0.273046532045654
11.7,0.311969563944981
11.72,0.330699443956687
11.74,0.347380743342113
11.76,0.364940005853088
11.78,0.390400936494001
11.8,0.466491074041557
11.82,0.525899912203687
11.84,0.596136962247586
11.86,0.361720807726076
11.88,0.129353233830846
11.9,-0.0409716125256073
11.92,-0.194907813871817
11.94,-0.162423178226515
11.96,-0.202809482001756
11.98,-0.287971905179983
12,-0.364647351477905
12.02,-0.34503950834065
12.04,-0.307287093942054
12.06,-0.269242025168276
12.08,-0.217442200760901
12.1,-0.236757389522973
12.12,-0.248756218905473
12.14,-0.251682762657302
12.16,-0.25256072578285
12.18,-0.25548726953468
12.2,-0.254023997658765
12.22,-0.258999122036874
12.24,-0.157155399473222
12.26,0.0152180275095113
12.28,0.0629206906643254
12.3,0.0717003219198127
12.32,0.169739537606087
12.34,0.0918934738074334
12.36,0.0690664325431665
12.38,0.141937371963711
12.4,0.172373426982733
12.42,0.153643546971027
12.44,0.103892303189933
12.46,0.0576529119110331
12.48,0.0582382206613989
12.5,0.143985952589991
12.52,0.100380450687738
12.54,0.0842844600526778
12.56,0.126426690079017
12.58,0.0699443956687152
12.6,0.025753585016096
12.62,0.022534386889084
12.64,-0.0433128475270705
12.66,-0.022534386889084
12.68,-0.00556043312847527
12.7,0.0219490781387182
12.72,0.012876792508048
12.74,-0.0424348844015218
12.76,-0.0924787825577992
12.78,-0.0705297044190811
12.8,-0.00819432250512145
12.82,0.0532630962832894
12.84,0.124670763827919
12.86,0.128475270705297
12.88,0.149839040093649
12.9,0.136376938835236
12.92,0.140181445712613
12.94,0.0564822944103014
12.96,0.0649692712906058
12.98,0.0801872988001171
13,0.115013169446883
13.02,0.147497805092186
13.04,0.168861574480539
13.06,0.17208077260755
13.08,0.240561896400351
13.1,0.233245537020778
13.12,0.277729002048581
13.14,0.100965759438104
13.16,0.0131694468832309
13.18,-0.0359964881474978
13.2,-0.101551068188469
13.22,-0.124670763827919
13.24,-0.12174422007609
13.26,-0.0804799531753
13.28,-0.0790166812993854
13.3,0.0216564237635353
13.32,0.125256072578285
13.34,-0.067603160667252
13.36,-0.113257243195786
13.38,-0.0242903131401815
13.4,0.0406789581504244
13.42,0.130231196956395
13.44,0.00790166812993854
13.46,-0.203980099502488
13.48,-0.232952882645596
13.5,-0.0734562481709102
13.52,-0.0395083406496927
13.54,0.0231196956394498
13.56,-0.0336552531460345
13.58,-0.0734562481709102
13.6,-0.0974539069359087
13.62,-0.0787240269242025
13.64,-0.0880889669300556
13.66,-0.0585308750365818
13.68,-0.0196078431372549
13.7,-0.0111208662569505
13.72,0.0307287093942054
13.74,0.0866256950541411
13.76,0.100673105062921
13.78,0.280070237050044
